Leading the Way,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,Storage heating,35.32,1017.14,2183.89,3628.03,5534.41,8365.15,13968.61,19718.22,25468.67,31220.82,36978.03,42735.51,48492.99,54250.47,60007.95,65765.43,71522.90,77280.38,83037.86,86329.94,86340.44,86350.94,86361.45,86362.18,86362.18,86362.18,86362.18,86362.18,86362.18,86362.18,86362.18,
,Resistive heating,0.08,2.40,5.15,8.56,13.06,19.74,32.97,46.54,60.11,73.68,87.25,100.82,114.39,127.97,141.54,155.11,168.68,182.25,195.82,203.57,203.57,203.57,203.57,203.57,203.57,203.57,203.57,203.57,203.57,203.57,203.57,
,ASHP,1754.28,23134.92,45767.18,75318.82,110989.76,150954.78,209904.17,298197.10,418520.91,578447.94,802105.31,1043956.11,1304047.63,1583216.20,1881875.87,2200255.07,2519510.78,2839402.25,3159769.50,3499394.81,3766338.18,4019120.83,4271903.49,4289475.94,4289475.94,4289475.94,4289475.94,4289475.94,4289475.94,4289475.94,4289475.94,
,GSHP,198.17,2489.98,4893.32,7990.08,11642.35,15535.51,20663.90,28813.24,40446.77,56869.79,82241.30,109550.59,138805.80,170151.10,203657.87,239365.48,275224.17,311192.46,347242.77,386612.75,419578.56,450979.90,482381.24,484564.14,484564.14,484564.14,484564.14,484564.14,484564.14,484564.14,484564.14,
,Hybrid HP - H2,0.01,0.16,0.31,0.51,0.74,0.98,1.29,1.78,2.50,3.54,5.20,6.99,8.90,10.95,13.13,15.46,17.80,20.15,22.51,25.10,27.32,29.43,31.54,31.69,31.69,31.69,31.69,31.69,31.69,31.69,31.69,
,Hybrid HP bottled - bioLPG,480.77,13854.43,29748.52,49423.25,75399.04,113976.97,190361.29,268731.81,347102.32,425472.84,503843.35,582213.87,660584.39,738954.90,817325.42,895695.93,974066.45,1052436.96,1130807.48,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,1175557.73,
,H2 boiler,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34004.30,68008.60,102012.90,136017.20,170021.50,204025.80,238030.10,272034.40,306038.70,340043.00,374047.30,408051.60,442055.90,476060.20,510064.50,510064.50,510064.50,510064.50,510064.50,510064.50,510064.50,510064.50,510064.50,510064.50,
,Hybrid HP + resistive heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,DH,108506.75,115716.43,116600.05,144838.03,178429.35,219370.35,268963.77,332171.80,373970.67,416133.88,458265.24,500107.26,542154.94,583804.05,625715.03,667890.20,709789.91,751606.19,793696.61,835481.99,877182.95,919508.65,961186.10,1003172.26,1045272.16,1087076.57,1129118.55,1130655.74,1142451.99,1143752.01,1155936.46,
,Total,110975.38,156215.46,199198.43,281207.28,382008.71,508223.48,703896.00,981684.79,1273580.56,1610235.38,2019542.89,2448692.65,2898234.84,3368545.73,3860771.20,4375181.37,4890343.69,5406167.95,5922824.15,6425661.79,6801288.95,7161815.56,7487689.62,7549432.01,7591531.91,7633336.32,7675378.30,7676915.49,7688711.74,7690011.76,7702196.21,
