System Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,Storage heating,36,871,1800,2855,4086,5582,7517,10333,15791,21698,27605,33512,39419,45326,51233,57140,63047,68954,74861,80768,86675,88604,88604,88604,88604,88604,88604,88604,88604,88604,88604,
,Resistive heating,4,91,188,297,425,579,779,1068,1625,2228,2832,3437,4043,4650,5262,5885,6510,7136,7761,8386,9012,9233,9259,9286,9312,9338,9364,9379,9379,9379,9379,
,ASHP,402,7976,16217,25325,35607,47593,62315,82306,117541,155816,194779,234707,276081,319865,368470,431538,497065,562591,628118,693644,759170,802350,834689,867028,899366,931705,964044,982896,982896,982896,982896,
,GSHP,383,6047,11997,18283,24969,32145,39945,48608,58806,70107,82703,97109,114233,135886,166596,224479,286981,349483,411985,474487,536988,598316,659075,719833,780591,841350,902108,937526,937526,937526,937526,
,Hybrid HP - H2,10,158,312,475,647,831,1027,1241,1475,1735,2030,2375,2794,3336,4125,5654,7309,8964,10618,12273,13928,15582,17237,18892,20547,22201,23856,24821,24821,24821,24821,
,Hybrid HP bottled - bioLPG,588,14131,29204,46318,66289,90545,121944,167627,256164,351985,447806,543627,639448,735269,831089,926910,1022731,1118552,1214373,1310194,1406015,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,
,H2 boiler,0,0,0,0,0,0,0,223444,446887,670331,893775,1117218,1340662,1564105,1787549,2010993,2234436,2457880,2681324,2904767,3128211,3351655,3351655,3351655,3351655,3351655,3351655,3351655,3351655,3351655,3351655,
,Hybrid HP + resistive heating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,DH,108507,115716,116600,144838,178429,219370,268964,332172,373971,416134,458265,500107,542155,583804,625715,667890,709790,751606,793697,835482,877183,919509,961186,1003172,1045272,1087077,1129119,1130656,1142452,1143752,1155936,
,Total,109930.19,144989.27,176318.34,238390.71,310452.24,396644.28,502490.41,866798.70,1272261.18,1690035.08,2109795.60,2532092.62,2958834.08,3392241.58,3840040.19,4330490.68,4827870.00,5325165.89,5822735.91,6320000.90,6817181.47,7222562.09,7359017.70,7495782.02,7632660.08,7769242.65,7906062.79,7962849.84,7974646.09,7975946.11,7988130.56,
